scenario,nuisance_bits,policy,episodes,mean_cost,success_rate,wrong_route_rate,mean_steps,mean_mode_senses,mean_nuisance_senses,mean_max_belief_states_carried,mean_tao_edges
decision_ambiguous,0,entropy_threshold,2000,2.0,1.0,0.0,2.0,1.0,0.0,2.0,0.5
decision_ambiguous,0,mode_only_oracle,2000,2.0,1.0,0.0,2.0,1.0,0.0,2.0,0.5
decision_ambiguous,0,qmdp,2000,6.2965,0.5185,0.4815,1.0,0.0,0.0,2.0,1.0
decision_ambiguous,0,tao,2000,2.0,1.0,0.0,2.0,1.0,0.0,2.0,0.5
decision_ambiguous,2,entropy_threshold,2000,2.4000000000000012,1.0,0.0,4.0,1.0,2.0,8.0,0.75
decision_ambiguous,2,mode_only_oracle,2000,2.0,1.0,0.0,2.0,1.0,0.0,8.0,0.5
decision_ambiguous,2,qmdp,2000,6.599,0.491,0.509,1.0,0.0,0.0,8.0,1.0
decision_ambiguous,2,tao,2000,2.0,1.0,0.0,2.0,1.0,0.0,8.0,0.5
decision_ambiguous,4,entropy_threshold,2000,2.8000000000001037,1.0,0.0,6.0,1.0,4.0,32.0,0.8333333333333134
decision_ambiguous,4,mode_only_oracle,2000,2.0,1.0,0.0,2.0,1.0,0.0,32.0,0.5
decision_ambiguous,4,qmdp,2000,6.3515,0.5135,0.4865,1.0,0.0,0.0,32.0,1.0
decision_ambiguous,4,tao,2000,2.0,1.0,0.0,2.0,1.0,0.0,32.0,0.5
decision_ambiguous,8,entropy_threshold,2000,3.6000000000001204,1.0,0.0,10.0,1.0,8.0,512.0,0.9000000000000301
decision_ambiguous,8,mode_only_oracle,2000,2.0,1.0,0.0,2.0,1.0,0.0,512.0,0.5
decision_ambiguous,8,qmdp,2000,6.5935,0.4915,0.5085,1.0,0.0,0.0,512.0,1.0
decision_ambiguous,8,tao,2000,2.0,1.0,0.0,2.0,1.0,0.0,512.0,0.5
decision_ambiguous,16,entropy_threshold,2000,5.2000000000000535,1.0,0.0,18.0,1.0,16.0,131072.0,0.9444444444444041
decision_ambiguous,16,mode_only_oracle,2000,2.0,1.0,0.0,2.0,1.0,0.0,131072.0,0.5
decision_ambiguous,16,qmdp,2000,6.566,0.494,0.506,1.0,0.0,0.0,131072.0,1.0
decision_ambiguous,16,tao,2000,2.0,1.0,0.0,2.0,1.0,0.0,131072.0,0.5
decision_ambiguous,32,entropy_threshold,2000,8.399999999999785,1.0,0.0,34.0,1.0,32.0,8589934592.0,0.9705882352941406
decision_ambiguous,32,mode_only_oracle,2000,2.0,1.0,0.0,2.0,1.0,0.0,8589934592.0,0.5
decision_ambiguous,32,qmdp,2000,6.478,0.502,0.498,1.0,0.0,0.0,8589934592.0,1.0
decision_ambiguous,32,tao,2000,2.0,1.0,0.0,2.0,1.0,0.0,8589934592.0,0.5
nuisance_only,0,entropy_threshold,2000,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
nuisance_only,0,mode_only_oracle,2000,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
nuisance_only,0,qmdp,2000,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
nuisance_only,0,tao,2000,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
nuisance_only,2,entropy_threshold,2000,1.4000000000000519,1.0,0.0,3.0,0.0,2.0,4.0,0.0
nuisance_only,2,mode_only_oracle,2000,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0
nuisance_only,2,qmdp,2000,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0
nuisance_only,2,tao,2000,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0
nuisance_only,4,entropy_threshold,2000,1.8000000000000602,1.0,0.0,5.0,0.0,4.0,16.0,0.0
nuisance_only,4,mode_only_oracle,2000,1.0,1.0,0.0,1.0,0.0,0.0,16.0,0.0
nuisance_only,4,qmdp,2000,1.0,1.0,0.0,1.0,0.0,0.0,16.0,0.0
nuisance_only,4,tao,2000,1.0,1.0,0.0,1.0,0.0,0.0,16.0,0.0
nuisance_only,8,entropy_threshold,2000,2.6000000000000267,1.0,0.0,9.0,0.0,8.0,256.0,0.0
nuisance_only,8,mode_only_oracle,2000,1.0,1.0,0.0,1.0,0.0,0.0,256.0,0.0
nuisance_only,8,qmdp,2000,1.0,1.0,0.0,1.0,0.0,0.0,256.0,0.0
nuisance_only,8,tao,2000,1.0,1.0,0.0,1.0,0.0,0.0,256.0,0.0
nuisance_only,16,entropy_threshold,2000,4.199999999999893,1.0,0.0,17.0,0.0,16.0,65536.0,0.0
nuisance_only,16,mode_only_oracle,2000,1.0,1.0,0.0,1.0,0.0,0.0,65536.0,0.0
nuisance_only,16,qmdp,2000,1.0,1.0,0.0,1.0,0.0,0.0,65536.0,0.0
nuisance_only,16,tao,2000,1.0,1.0,0.0,1.0,0.0,0.0,65536.0,0.0
nuisance_only,32,entropy_threshold,2000,7.399999999999754,1.0,0.0,33.0,0.0,32.0,4294967296.0,0.0
nuisance_only,32,mode_only_oracle,2000,1.0,1.0,0.0,1.0,0.0,0.0,4294967296.0,0.0
nuisance_only,32,qmdp,2000,1.0,1.0,0.0,1.0,0.0,0.0,4294967296.0,0.0
nuisance_only,32,tao,2000,1.0,1.0,0.0,1.0,0.0,0.0,4294967296.0,0.0
